Keyword,Video ID,Video Title,Comment Text,Author,Published Date,Like Count
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),Nano banano vs OpenAI,@Yuta-okutsu0,2026-06-05,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),Codegnitoai,@Bellavibes_96,2026-06-05,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),I’ve just now deleted ChatGPT because it gives wrong information and Gemini had to inform me the correct information and ChatGPT is becoming snappy so yeah bye-bye ChatGPT,@simplyelln,2026-06-05,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),Gemini better,@EpicyonHaydeni-g1e,2026-06-05,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),Aku suka Gemini❤🤨,@MikhaElla-j5d,2026-06-04,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),I&#39;m better than that old boot.,@vampportugues123,2026-06-04,1
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),"Poor Gemini, he’s a white but stupid Gemini one Flynn is he says oh good look at that but Gemini daughter white did not understand why the one AI is not Gemini what is that? That’s not a melting blog but Gemini is a melting block ice what the heck this person is dumb.",@LeannRiley-r4q,2026-06-04,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),Is melting it&#39;s not chat pretty is just she&#39;s going to google,@JaymeVincent-n1r,2026-06-04,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),I am open AI😊💻,@ChatGPT-V5.5,2026-06-04,1
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),Chat gpt perfect,@puterahw9514,2026-06-04,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),tontos gemini,@Yeikon-fx3jv,2026-06-02,0
ChatGPT,Xm7ySx8VJXo,ChatGPT vs Gemini – AI Image Generation Test (Mind-Blowing Results!),"Bro,it dosent look like melting to me🥀",@thirdyrumbz8526,2026-06-02,0
