Platform,Keyword,records
instagram,Data Engineering,30
instagram,Databricks,30
instagram,AI Agents,27
instagram,AWS,27
instagram,Automation,27
instagram,Digital Marketing,27
instagram,SEO,27
instagram,SaaS,27
instagram,Influencer Marketing,24
instagram,Startup,24
instagram,ChatGPT,18
instagram,Digital Transformation,3
twitter,AWS,83467
twitter,Automation,514
twitter,SaaS,143
twitter,Startup,51
twitter,SEO,34
twitter,Digital Marketing,3
youtube,Automation,478
youtube,AWS,450
youtube,ChatGPT,446
youtube,SEO,442
youtube,Startup,429
youtube,AI Agents,413
youtube,Digital Marketing,380
youtube,Databricks,375
youtube,Data Engineering,372
youtube,Influencer Marketing,282
youtube,Digital Transformation,204
youtube,SaaS,173
