Platform,Keyword,sentiment_label,count,pct_within_group
instagram,AI Agents,negative,89,14.5
instagram,AI Agents,neutral,54,8.8
instagram,AI Agents,positive,471,76.7
instagram,AWS,negative,35,6.5
instagram,AWS,neutral,33,6.1
instagram,AWS,positive,472,87.4
instagram,Automation,negative,55,9.5
instagram,Automation,neutral,39,6.7
instagram,Automation,positive,488,83.8
instagram,ChatGPT,negative,24,7.1
instagram,ChatGPT,neutral,103,30.7
instagram,ChatGPT,positive,209,62.2
instagram,Data Engineering,negative,44,7.7
instagram,Data Engineering,neutral,21,3.7
instagram,Data Engineering,positive,505,88.6
instagram,Databricks,negative,37,8.5
instagram,Databricks,neutral,29,6.7
instagram,Databricks,positive,370,84.9
instagram,Digital Marketing,negative,19,3.5
instagram,Digital Marketing,neutral,30,5.5
instagram,Digital Marketing,positive,494,91.0
instagram,Digital Transformation,negative,8,1.7
instagram,Digital Transformation,neutral,18,3.8
instagram,Digital Transformation,positive,453,94.6
instagram,Influencer Marketing,negative,18,3.8
instagram,Influencer Marketing,neutral,36,7.6
instagram,Influencer Marketing,positive,417,88.5
instagram,SEO,negative,19,5.0
instagram,SEO,neutral,16,4.2
instagram,SEO,positive,344,90.8
instagram,SaaS,negative,51,11.4
instagram,SaaS,neutral,26,5.8
instagram,SaaS,positive,369,82.7
instagram,Startup,negative,19,5.3
instagram,Startup,neutral,37,10.4
instagram,Startup,positive,301,84.3
youtube,AI Agents,negative,1249,20.7
youtube,AI Agents,neutral,1272,21.1
youtube,AI Agents,positive,3516,58.2
youtube,AWS,negative,197,11.4
youtube,AWS,neutral,381,22.0
youtube,AWS,positive,1155,66.6
youtube,Automation,negative,428,12.1
youtube,Automation,neutral,879,24.9
youtube,Automation,positive,2228,63.0
youtube,ChatGPT,negative,1554,23.3
youtube,ChatGPT,neutral,1548,23.2
youtube,ChatGPT,positive,3562,53.5
youtube,Data Engineering,negative,238,11.3
youtube,Data Engineering,neutral,461,22.0
youtube,Data Engineering,positive,1401,66.7
youtube,Databricks,negative,131,9.1
youtube,Databricks,neutral,248,17.2
youtube,Databricks,positive,1066,73.8
youtube,Digital Marketing,negative,169,8.5
youtube,Digital Marketing,neutral,414,20.9
youtube,Digital Marketing,positive,1402,70.6
youtube,Digital Transformation,negative,46,10.8
youtube,Digital Transformation,neutral,61,14.4
youtube,Digital Transformation,positive,318,74.8
youtube,Influencer Marketing,negative,218,17.4
youtube,Influencer Marketing,neutral,274,21.9
youtube,Influencer Marketing,positive,759,60.7
youtube,SEO,negative,278,11.3
youtube,SEO,neutral,321,13.1
youtube,SEO,positive,1855,75.6
youtube,SaaS,negative,411,19.1
youtube,SaaS,neutral,459,21.3
youtube,SaaS,positive,1281,59.6
youtube,Startup,negative,540,15.8
youtube,Startup,neutral,786,22.9
youtube,Startup,positive,2100,61.3
