Keyword,dominant_topic_label,count
AI Agents,"T11: agent, does, claude, code",1774
AI Agents,"T0: real, cloud, world, engineer",1432
AI Agents,"T13: think, better, youtube, idea",556
AI Agents,"T10: easy, understand, easy understand, simple",369
AI Agents,"T6: business, help, digitalmarketing, right",306
AI Agents,"T9: time, save, save time, long",293
AI Agents,"T5: broke, rich, dumb, broke dumb",281
AI Agents,"T12: new, idea, subscriber, new subscriber",208
AI Agents,"T3: course, step, beginners, hi",103
AI Agents,"T7: start, company, idea, ready",102
AI Agents,"T8: clear, clearly, clearly clear, explaining clearly",96
AI Agents,"T2: free, free praise, praise, paid",69
AI Agents,"T4: chat, gpt, chat gpt, voice",55
AI Agents,"T14: explaining, crisp, crisp smart, necessary sufficient",33
AI Agents,"T1: wish, understandable, clear understandable, understandable wish",21
AWS,"T0: real, cloud, world, engineer",1251
AWS,"T11: agent, does, claude, code",177
AWS,"T3: course, step, beginners, hi",155
AWS,"T10: easy, understand, easy understand, simple",122
AWS,"T13: think, better, youtube, idea",120
AWS,"T6: business, help, digitalmarketing, right",112
AWS,"T12: new, idea, subscriber, new subscriber",93
AWS,"T9: time, save, save time, long",83
AWS,"T7: start, company, idea, ready",73
AWS,"T2: free, free praise, praise, paid",56
AWS,"T8: clear, clearly, clearly clear, explaining clearly",37
AWS,"T5: broke, rich, dumb, broke dumb",34
AWS,"T1: wish, understandable, clear understandable, understandable wish",11
AWS,"T14: explaining, crisp, crisp smart, necessary sufficient",6
AWS,"T4: chat, gpt, chat gpt, voice",6
Automation,"T0: real, cloud, world, engineer",1086
Automation,"T11: agent, does, claude, code",605
Automation,"T6: business, help, digitalmarketing, right",406
Automation,"T13: think, better, youtube, idea",403
Automation,"T9: time, save, save time, long",269
Automation,"T10: easy, understand, easy understand, simple",258
Automation,"T12: new, idea, subscriber, new subscriber",210
Automation,"T3: course, step, beginners, hi",183
Automation,"T2: free, free praise, praise, paid",133
Automation,"T7: start, company, idea, ready",133
Automation,"T5: broke, rich, dumb, broke dumb",109
Automation,"T8: clear, clearly, clearly clear, explaining clearly",37
Automation,"T14: explaining, crisp, crisp smart, necessary sufficient",36
Automation,"T4: chat, gpt, chat gpt, voice",21
Automation,"T1: wish, understandable, clear understandable, understandable wish",20
ChatGPT,"T11: agent, does, claude, code",1739
ChatGPT,"T0: real, cloud, world, engineer",1473
ChatGPT,"T13: think, better, youtube, idea",961
ChatGPT,"T4: chat, gpt, chat gpt, voice",627
ChatGPT,"T6: business, help, digitalmarketing, right",410
ChatGPT,"T9: time, save, save time, long",384
ChatGPT,"T12: new, idea, subscriber, new subscriber",377
ChatGPT,"T10: easy, understand, easy understand, simple",267
ChatGPT,"T5: broke, rich, dumb, broke dumb",264
ChatGPT,"T7: start, company, idea, ready",163
ChatGPT,"T2: free, free praise, praise, paid",139
ChatGPT,"T3: course, step, beginners, hi",102
ChatGPT,"T8: clear, clearly, clearly clear, explaining clearly",58
ChatGPT,"T14: explaining, crisp, crisp smart, necessary sufficient",36
ChatGPT,"T1: wish, understandable, clear understandable, understandable wish",19
Data Engineering,"T0: real, cloud, world, engineer",1477
Data Engineering,"T3: course, step, beginners, hi",179
Data Engineering,"T11: agent, does, claude, code",134
Data Engineering,"T10: easy, understand, easy understand, simple",119
Data Engineering,"T13: think, better, youtube, idea",114
Data Engineering,"T9: time, save, save time, long",106
Data Engineering,"T6: business, help, digitalmarketing, right",84
Data Engineering,"T7: start, company, idea, ready",81
Data Engineering,"T12: new, idea, subscriber, new subscriber",63
Data Engineering,"T2: free, free praise, praise, paid",42
Data Engineering,"T5: broke, rich, dumb, broke dumb",29
Data Engineering,"T8: clear, clearly, clearly clear, explaining clearly",21
Data Engineering,"T14: explaining, crisp, crisp smart, necessary sufficient",10
Data Engineering,"T1: wish, understandable, clear understandable, understandable wish",10
Data Engineering,"T4: chat, gpt, chat gpt, voice",5
Databricks,"T0: real, cloud, world, engineer",936
Databricks,"T11: agent, does, claude, code",158
Databricks,"T10: easy, understand, easy understand, simple",108
Databricks,"T3: course, step, beginners, hi",105
Databricks,"T13: think, better, youtube, idea",104
Databricks,"T12: new, idea, subscriber, new subscriber",79
Databricks,"T9: time, save, save time, long",67
Databricks,"T6: business, help, digitalmarketing, right",60
Databricks,"T2: free, free praise, praise, paid",41
Databricks,"T7: start, company, idea, ready",37
Databricks,"T8: clear, clearly, clearly clear, explaining clearly",29
Databricks,"T5: broke, rich, dumb, broke dumb",19
Databricks,"T14: explaining, crisp, crisp smart, necessary sufficient",7
Databricks,"T4: chat, gpt, chat gpt, voice",5
Databricks,"T1: wish, understandable, clear understandable, understandable wish",4
Digital Marketing,"T6: business, help, digitalmarketing, right",663
Digital Marketing,"T0: real, cloud, world, engineer",516
Digital Marketing,"T13: think, better, youtube, idea",218
Digital Marketing,"T11: agent, does, claude, code",217
Digital Marketing,"T3: course, step, beginners, hi",217
Digital Marketing,"T10: easy, understand, easy understand, simple",125
Digital Marketing,"T7: start, company, idea, ready",116
Digital Marketing,"T5: broke, rich, dumb, broke dumb",111
Digital Marketing,"T12: new, idea, subscriber, new subscriber",102
Digital Marketing,"T9: time, save, save time, long",95
Digital Marketing,"T2: free, free praise, praise, paid",74
Digital Marketing,"T8: clear, clearly, clearly clear, explaining clearly",34
Digital Marketing,"T1: wish, understandable, clear understandable, understandable wish",14
Digital Marketing,"T14: explaining, crisp, crisp smart, necessary sufficient",12
Digital Marketing,"T4: chat, gpt, chat gpt, voice",12
Digital Transformation,"T0: real, cloud, world, engineer",286
Digital Transformation,"T6: business, help, digitalmarketing, right",229
Digital Transformation,"T9: time, save, save time, long",59
Digital Transformation,"T13: think, better, youtube, idea",48
Digital Transformation,"T10: easy, understand, easy understand, simple",44
Digital Transformation,"T11: agent, does, claude, code",42
Digital Transformation,"T12: new, idea, subscriber, new subscriber",38
Digital Transformation,"T7: start, company, idea, ready",22
Digital Transformation,"T5: broke, rich, dumb, broke dumb",16
Digital Transformation,"T8: clear, clearly, clearly clear, explaining clearly",13
Digital Transformation,"T3: course, step, beginners, hi",9
Digital Transformation,"T14: explaining, crisp, crisp smart, necessary sufficient",7
Digital Transformation,"T2: free, free praise, praise, paid",7
Digital Transformation,"T4: chat, gpt, chat gpt, voice",4
Digital Transformation,"T1: wish, understandable, clear understandable, understandable wish",3
Influencer Marketing,"T6: business, help, digitalmarketing, right",619
Influencer Marketing,"T0: real, cloud, world, engineer",315
Influencer Marketing,"T13: think, better, youtube, idea",199
Influencer Marketing,"T11: agent, does, claude, code",150
Influencer Marketing,"T9: time, save, save time, long",91
Influencer Marketing,"T12: new, idea, subscriber, new subscriber",76
Influencer Marketing,"T5: broke, rich, dumb, broke dumb",61
Influencer Marketing,"T10: easy, understand, easy understand, simple",54
Influencer Marketing,"T2: free, free praise, praise, paid",49
Influencer Marketing,"T3: course, step, beginners, hi",48
Influencer Marketing,"T7: start, company, idea, ready",45
Influencer Marketing,"T8: clear, clearly, clearly clear, explaining clearly",27
Influencer Marketing,"T1: wish, understandable, clear understandable, understandable wish",7
Influencer Marketing,"T4: chat, gpt, chat gpt, voice",7
Influencer Marketing,"T14: explaining, crisp, crisp smart, necessary sufficient",4
SEO,"T6: business, help, digitalmarketing, right",656
SEO,"T0: real, cloud, world, engineer",540
SEO,"T11: agent, does, claude, code",432
SEO,"T13: think, better, youtube, idea",201
SEO,"T8: clear, clearly, clearly clear, explaining clearly",182
SEO,"T10: easy, understand, easy understand, simple",172
SEO,"T12: new, idea, subscriber, new subscriber",112
SEO,"T1: wish, understandable, clear understandable, understandable wish",109
SEO,"T2: free, free praise, praise, paid",107
SEO,"T14: explaining, crisp, crisp smart, necessary sufficient",86
SEO,"T5: broke, rich, dumb, broke dumb",76
SEO,"T9: time, save, save time, long",72
SEO,"T7: start, company, idea, ready",59
SEO,"T3: course, step, beginners, hi",57
SEO,"T4: chat, gpt, chat gpt, voice",27
SaaS,"T0: real, cloud, world, engineer",844
SaaS,"T11: agent, does, claude, code",444
SaaS,"T6: business, help, digitalmarketing, right",419
SaaS,"T13: think, better, youtube, idea",267
SaaS,"T9: time, save, save time, long",173
SaaS,"T10: easy, understand, easy understand, simple",144
SaaS,"T5: broke, rich, dumb, broke dumb",128
SaaS,"T12: new, idea, subscriber, new subscriber",123
SaaS,"T7: start, company, idea, ready",101
SaaS,"T2: free, free praise, praise, paid",64
SaaS,"T3: course, step, beginners, hi",38
SaaS,"T4: chat, gpt, chat gpt, voice",21
SaaS,"T8: clear, clearly, clearly clear, explaining clearly",13
SaaS,"T14: explaining, crisp, crisp smart, necessary sufficient",11
SaaS,"T1: wish, understandable, clear understandable, understandable wish",7
Startup,"T0: real, cloud, world, engineer",1158
Startup,"T13: think, better, youtube, idea",451
Startup,"T6: business, help, digitalmarketing, right",424
Startup,"T10: easy, understand, easy understand, simple",404
Startup,"T11: agent, does, claude, code",386
Startup,"T7: start, company, idea, ready",199
Startup,"T9: time, save, save time, long",177
Startup,"T12: new, idea, subscriber, new subscriber",176
Startup,"T5: broke, rich, dumb, broke dumb",140
Startup,"T8: clear, clearly, clearly clear, explaining clearly",38
Startup,"T3: course, step, beginners, hi",37
Startup,"T2: free, free praise, praise, paid",34
Startup,"T4: chat, gpt, chat gpt, voice",33
Startup,"T1: wish, understandable, clear understandable, understandable wish",20
Startup,"T14: explaining, crisp, crisp smart, necessary sufficient",9
