dominant_topic_label,early_share,late_share,change_pct_points
"T0: agent, new, think, real",0.5911811500871278,0.6048601184398611,1.37
"T8: easy, understand, easy understand, simple",0.031517539207515724,0.03951398815601389,0.8
"T1: wish, understandable, clear understandable, understandable wish",0.0037124024547314192,0.008576679599754953,0.49
"T9: clear, explaining, clearly, clearly clear",0.013182816880066672,0.017868082499489485,0.47
"T6: start, ready, company, right",0.027274793544965526,0.03175413518480703,0.45
"T7: smart, rich, broke, dumb",0.034623835139025685,0.03839085154176026,0.38
"T4: chat, gpt, chat gpt, voice",0.0269717402833548,0.02991627527057382,0.29
"T2: course, step, beginners, hi",0.02060762178952951,0.02287114559934654,0.23
"T3: free, free praise, praise, courses",0.02522918402909311,0.025015315499285276,-0.02
"T10: time, save, save time, real time",0.04939768164254868,0.03941188482744538,-1.0
"T5: business, help, build, digitalmarketing",0.17630123494204106,0.14182152338166223,-3.45
