week,dominant_topic_label,posts
2026-06-01,"T0: new, agent, think, real",41
2026-06-01,"T5: business, help, digitalmarketing, brand",11
2026-06-01,"T8: time, save, save time, real time",5
2026-06-01,"T2: course, step, beginners, hi",4
2026-06-01,"T6: start, ready, company, right",3
2026-06-01,"T7: smart, rich, broke, dumb",2
2026-06-01,"T9: clear, explaining, clearly, clearly clear",2
2026-06-01,"T10: easy, understand, easy understand, simple",1
2026-06-01,"T3: free, free praise, praise, courses",1
2026-06-01,"T4: chat, gpt, chat gpt, voice",1
2026-06-08,"T0: new, agent, think, real",402
2026-06-08,"T5: business, help, digitalmarketing, brand",79
2026-06-08,"T10: easy, understand, easy understand, simple",40
2026-06-08,"T8: time, save, save time, real time",24
2026-06-08,"T2: course, step, beginners, hi",23
2026-06-08,"T3: free, free praise, praise, courses",22
2026-06-08,"T7: smart, rich, broke, dumb",20
2026-06-08,"T6: start, ready, company, right",15
2026-06-08,"T4: chat, gpt, chat gpt, voice",12
2026-06-08,"T9: clear, explaining, clearly, clearly clear",10
2026-06-08,"T1: wish, understandable, clear understandable, understandable wish",3
2026-06-15,"T0: new, agent, think, real",791
2026-06-15,"T5: business, help, digitalmarketing, brand",195
2026-06-15,"T10: easy, understand, easy understand, simple",51
2026-06-15,"T8: time, save, save time, real time",50
2026-06-15,"T2: course, step, beginners, hi",36
2026-06-15,"T3: free, free praise, praise, courses",32
2026-06-15,"T4: chat, gpt, chat gpt, voice",28
2026-06-15,"T6: start, ready, company, right",24
2026-06-15,"T7: smart, rich, broke, dumb",20
2026-06-15,"T9: clear, explaining, clearly, clearly clear",17
2026-06-15,"T1: wish, understandable, clear understandable, understandable wish",3
2026-06-22,"T0: new, agent, think, real",1922
2026-06-22,"T5: business, help, digitalmarketing, brand",828
2026-06-22,"T8: time, save, save time, real time",161
2026-06-22,"T10: easy, understand, easy understand, simple",102
2026-06-22,"T4: chat, gpt, chat gpt, voice",95
2026-06-22,"T6: start, ready, company, right",94
2026-06-22,"T3: free, free praise, praise, courses",87
2026-06-22,"T7: smart, rich, broke, dumb",87
2026-06-22,"T2: course, step, beginners, hi",52
2026-06-22,"T9: clear, explaining, clearly, clearly clear",33
2026-06-22,"T1: wish, understandable, clear understandable, understandable wish",4
2026-06-29,"T0: new, agent, think, real",1193
2026-06-29,"T5: business, help, digitalmarketing, brand",150
2026-06-29,"T7: smart, rich, broke, dumb",141
2026-06-29,"T8: time, save, save time, real time",93
2026-06-29,"T10: easy, understand, easy understand, simple",71
2026-06-29,"T3: free, free praise, praise, courses",55
2026-06-29,"T4: chat, gpt, chat gpt, voice",47
2026-06-29,"T6: start, ready, company, right",43
2026-06-29,"T2: course, step, beginners, hi",40
2026-06-29,"T9: clear, explaining, clearly, clearly clear",32
2026-06-29,"T1: wish, understandable, clear understandable, understandable wish",21
2026-07-06,"T0: new, agent, think, real",1511
2026-07-06,"T5: business, help, digitalmarketing, brand",268
2026-07-06,"T7: smart, rich, broke, dumb",110
2026-07-06,"T4: chat, gpt, chat gpt, voice",109
2026-07-06,"T10: easy, understand, easy understand, simple",94
2026-07-06,"T8: time, save, save time, real time",90
2026-07-06,"T2: course, step, beginners, hi",70
2026-07-06,"T6: start, ready, company, right",66
2026-07-06,"T3: free, free praise, praise, courses",60
2026-07-06,"T9: clear, explaining, clearly, clearly clear",29
2026-07-06,"T1: wish, understandable, clear understandable, understandable wish",9
2026-07-13,"T0: new, agent, think, real",1592
2026-07-13,"T5: business, help, digitalmarketing, brand",727
2026-07-13,"T8: time, save, save time, real time",150
2026-07-13,"T6: start, ready, company, right",93
2026-07-13,"T3: free, free praise, praise, courses",86
2026-07-13,"T10: easy, understand, easy understand, simple",78
2026-07-13,"T7: smart, rich, broke, dumb",69
2026-07-13,"T4: chat, gpt, chat gpt, voice",54
2026-07-13,"T2: course, step, beginners, hi",48
2026-07-13,"T9: clear, explaining, clearly, clearly clear",31
2026-07-13,"T1: wish, understandable, clear understandable, understandable wish",9
2026-07-20,"T0: new, agent, think, real",900
2026-07-20,"T8: time, save, save time, real time",83
2026-07-20,"T5: business, help, digitalmarketing, brand",80
2026-07-20,"T10: easy, understand, easy understand, simple",60
2026-07-20,"T7: smart, rich, broke, dumb",45
2026-07-20,"T4: chat, gpt, chat gpt, voice",41
2026-07-20,"T3: free, free praise, praise, courses",39
2026-07-20,"T6: start, ready, company, right",37
2026-07-20,"T2: course, step, beginners, hi",34
2026-07-20,"T9: clear, explaining, clearly, clearly clear",25
2026-07-20,"T1: wish, understandable, clear understandable, understandable wish",1
2026-07-27,"T0: new, agent, think, real",1242
2026-07-27,"T5: business, help, digitalmarketing, brand",130
2026-07-27,"T7: smart, rich, broke, dumb",129
2026-07-27,"T6: start, ready, company, right",79
2026-07-27,"T8: time, save, save time, real time",79
2026-07-27,"T10: easy, understand, easy understand, simple",76
2026-07-27,"T4: chat, gpt, chat gpt, voice",61
2026-07-27,"T2: course, step, beginners, hi",58
2026-07-27,"T3: free, free praise, praise, courses",45
2026-07-27,"T9: clear, explaining, clearly, clearly clear",24
2026-07-27,"T1: wish, understandable, clear understandable, understandable wish",10
2026-08-03,"T0: new, agent, think, real",861
2026-08-03,"T5: business, help, digitalmarketing, brand",109
2026-08-03,"T7: smart, rich, broke, dumb",72
2026-08-03,"T8: time, save, save time, real time",65
2026-08-03,"T10: easy, understand, easy understand, simple",50
2026-08-03,"T2: course, step, beginners, hi",48
2026-08-03,"T4: chat, gpt, chat gpt, voice",45
2026-08-03,"T3: free, free praise, praise, courses",35
2026-08-03,"T6: start, ready, company, right",35
2026-08-03,"T9: clear, explaining, clearly, clearly clear",27
2026-08-03,"T1: wish, understandable, clear understandable, understandable wish",7
2026-08-10,"T0: new, agent, think, real",1475
2026-08-10,"T5: business, help, digitalmarketing, brand",689
2026-08-10,"T10: easy, understand, easy understand, simple",97
2026-08-10,"T8: time, save, save time, real time",91
2026-08-10,"T6: start, ready, company, right",73
2026-08-10,"T3: free, free praise, praise, courses",70
2026-08-10,"T7: smart, rich, broke, dumb",62
2026-08-10,"T4: chat, gpt, chat gpt, voice",59
2026-08-10,"T9: clear, explaining, clearly, clearly clear",56
2026-08-10,"T2: course, step, beginners, hi",41
2026-08-10,"T1: wish, understandable, clear understandable, understandable wish",20
2026-08-17,"T0: new, agent, think, real",902
2026-08-17,"T5: business, help, digitalmarketing, brand",241
2026-08-17,"T10: easy, understand, easy understand, simple",64
2026-08-17,"T8: time, save, save time, real time",56
2026-08-17,"T6: start, ready, company, right",47
2026-08-17,"T3: free, free praise, praise, courses",40
2026-08-17,"T4: chat, gpt, chat gpt, voice",40
2026-08-17,"T2: course, step, beginners, hi",29
2026-08-17,"T9: clear, explaining, clearly, clearly clear",25
2026-08-17,"T1: wish, understandable, clear understandable, understandable wish",23
2026-08-17,"T7: smart, rich, broke, dumb",23
2026-08-24,"T0: new, agent, think, real",518
2026-08-24,"T5: business, help, digitalmarketing, brand",81
2026-08-24,"T10: easy, understand, easy understand, simple",60
2026-08-24,"T4: chat, gpt, chat gpt, voice",52
2026-08-24,"T7: smart, rich, broke, dumb",44
2026-08-24,"T8: time, save, save time, real time",27
2026-08-24,"T6: start, ready, company, right",24
2026-08-24,"T3: free, free praise, praise, courses",16
2026-08-24,"T1: wish, understandable, clear understandable, understandable wish",15
2026-08-24,"T9: clear, explaining, clearly, clearly clear",14
2026-08-24,"T2: course, step, beginners, hi",11
