week,Platform,posts
2026-06-08,youtube,113
2026-06-15,instagram,272
2026-06-15,youtube,1161
2026-06-22,instagram,1598
2026-06-22,youtube,2313
2026-06-29,youtube,2186
2026-07-06,instagram,300
2026-07-06,youtube,2503
2026-07-13,instagram,1534
2026-07-13,youtube,1677
2026-07-20,instagram,2
2026-07-20,youtube,1617
2026-07-27,instagram,2
2026-07-27,youtube,2306
2026-08-03,instagram,1
2026-08-03,youtube,1707
2026-08-10,instagram,1401
2026-08-10,youtube,1625
2026-08-17,instagram,437
2026-08-17,youtube,1270
2026-08-24,youtube,1214
2026-08-31,youtube,1019
