Metric,Value
Total Records,4444
Total Columns,7
Column Names,"Keyword, Video ID, Video Title, Comment Text, Author, Published Date, Like Count"
,
--- Column Types ---,
numeric,Like Count
text,"Video Title, Comment Text"
category,Keyword
id,Video ID
author,Author
date,Published Date
,
--- Missing Values ---,
Missing Values,None
Duplicate Row Count,0
,
--- Category Cardinality ---,
  Unique 'Keyword',12
,
--- Numeric Statistics ---,
  Mean (Like Count),4.56
  Std (Like Count),135.6
  Min (Like Count),0
  25% (Like Count),0.0
  50% (Like Count),0.0
  75% (Like Count),1.0
  Max (Like Count),8645
,
--- Text Statistics ---,
  Avg length (Video Title),65.39 chars
  Min length (Video Title),19 chars
  Max length (Video Title),100 chars
  Avg length (Comment Text),112.39 chars
  Min length (Comment Text),1 chars
  Max length (Comment Text),33214 chars
